proposal_id,primary_cluster,primary_ratio,secondary_cluster,secondary_ratio,tertiary_cluster,tertiary_ratio
102,3,0.5833333333333334,15,0.25,8,0.08333333333333333
1057,17,0.4583333333333333,11,0.2916666666666667,4,0.25
1063,4,0.9565217391304348,9,0.043478260869565216,-1,0.0
1084,0,0.7777777777777778,16,0.16666666666666666,9,0.05555555555555555
1093,13,0.5909090909090909,5,0.13636363636363635,11,0.09090909090909091
1095,10,0.5333333333333333,0,0.2,9,0.2
1096,16,0.5,9,0.23684210526315788,0,0.13157894736842105
1097,0,0.5384615384615384,14,0.23076923076923078,9,0.15384615384615385
1098,0,0.7777777777777778,16,0.2222222222222222,-1,0.0
1099,17,0.7619047619047619,11,0.14285714285714285,4,0.09523809523809523
1100,9,0.41379310344827586,12,0.3793103448275862,16,0.06896551724137931
1101,4,0.5238095238095238,17,0.19047619047619047,11,0.14285714285714285
1102,19,0.39285714285714285,9,0.35714285714285715,2,0.21428571428571427
1103,15,0.42857142857142855,6,0.35714285714285715,5,0.14285714285714285
1104,17,0.42857142857142855,4,0.14285714285714285,2,0.14285714285714285
1105,13,0.5454545454545454,19,0.3181818181818182,6,0.09090909090909091
1106,2,0.6785714285714286,19,0.21428571428571427,9,0.10714285714285714
1107,4,0.6428571428571429,9,0.14285714285714285,15,0.07142857142857142
1108,10,0.8888888888888888,9,0.05555555555555555,0,0.05555555555555555
1109,10,0.5714285714285714,8,0.17857142857142858,11,0.10714285714285714
1110,4,1.0,-1,0.0,-1,0.0
1112,0,0.35714285714285715,9,0.21428571428571427,14,0.14285714285714285
1113,4,0.391304347826087,11,0.21739130434782608,17,0.17391304347826086
1114,5,0.42105263157894735,13,0.3684210526315789,16,0.15789473684210525
1115,13,0.5,6,0.5,-1,0.0
1116,13,0.6111111111111112,11,0.2222222222222222,19,0.16666666666666666
1117,0,0.6842105263157895,16,0.15789473684210525,6,0.10526315789473684
1118,15,0.8333333333333334,16,0.1111111111111111,12,0.05555555555555555
1119,9,0.5,11,0.2222222222222222,16,0.1388888888888889
1120,0,0.6818181818181818,16,0.09090909090909091,15,0.09090909090909091
1121,15,0.5454545454545454,9,0.18181818181818182,6,0.13636363636363635
1122,15,0.22727272727272727,5,0.18181818181818182,11,0.18181818181818182
1123,18,0.71875,9,0.125,13,0.0625
1124,18,0.5,13,0.21428571428571427,12,0.14285714285714285
1125,14,0.6875,11,0.125,9,0.125
1126,16,0.3225806451612903,9,0.2903225806451613,2,0.1935483870967742
1127,8,0.47058823529411764,14,0.17647058823529413,18,0.11764705882352941
1128,0,0.6470588235294118,5,0.23529411764705882,16,0.058823529411764705
1129,4,0.8235294117647058,11,0.11764705882352941,16,0.058823529411764705
1130,9,0.5,6,0.2222222222222222,8,0.16666666666666666
1131,4,0.6,16,0.13333333333333333,8,0.13333333333333333
1132,13,0.5652173913043478,6,0.21739130434782608,18,0.08695652173913043
1133,13,0.7333333333333333,6,0.26666666666666666,-1,0.0
1134,13,0.5,19,0.5,-1,0.0
1135,13,0.7368421052631579,6,0.15789473684210525,11,0.10526315789473684
1136,6,0.39215686274509803,16,0.1568627450980392,19,0.1568627450980392
1137,0,0.23529411764705882,12,0.23529411764705882,8,0.23529411764705882
1138,9,0.3076923076923077,16,0.3076923076923077,0,0.19230769230769232
1139,19,0.55,9,0.3,2,0.15
1140,0,0.5555555555555556,9,0.2222222222222222,16,0.1111111111111111
1142,9,0.7333333333333333,7,0.13333333333333333,15,0.06666666666666667
1143,9,0.45,16,0.25,6,0.15
1144,1,0.4444444444444444,13,0.2777777777777778,6,0.16666666666666666
1146,13,0.6,6,0.2,11,0.13333333333333333
1148,14,0.5454545454545454,9,0.36363636363636365,6,0.045454545454545456
1150,12,0.32,15,0.24,11,0.2
1151,0,0.5172413793103449,10,0.20689655172413793,11,0.10344827586206896
1152,16,0.5,9,0.25,19,0.1875
1153,13,0.45454545454545453,18,0.2727272727272727,11,0.18181818181818182
1154,13,0.5384615384615384,19,0.46153846153846156,-1,0.0
1156,13,0.45,19,0.25,11,0.1
1173,0,0.5,16,0.35,9,0.1
1185,0,0.3333333333333333,4,0.2857142857142857,9,0.14285714285714285
1191,16,0.7307692307692307,9,0.15384615384615385,0,0.11538461538461539
1204,0,0.5652173913043478,5,0.30434782608695654,12,0.08695652173913043
1212,3,0.38461538461538464,15,0.3076923076923077,9,0.15384615384615385
1215,11,0.4897959183673469,15,0.20408163265306123,16,0.20408163265306123
1224,10,0.8181818181818182,0,0.13636363636363635,12,0.045454545454545456
1225,5,0.5263157894736842,0,0.47368421052631576,-1,0.0
1229,9,0.5555555555555556,16,0.2222222222222222,0,0.1111111111111111
1230,10,0.5,8,0.25,11,0.05
1231,16,0.7575757575757576,9,0.24242424242424243,-1,0.0
1232,16,0.5333333333333333,13,0.4,6,0.06666666666666667
1233,15,0.7575757575757576,16,0.09090909090909091,11,0.06060606060606061
1234,15,0.9166666666666666,9,0.041666666666666664,5,0.041666666666666664
1235,16,0.5416666666666666,9,0.25,0,0.20833333333333334
1236,19,0.6129032258064516,9,0.22580645161290322,2,0.12903225806451613
1237,4,0.7727272727272727,8,0.13636363636363635,11,0.045454545454545456
1239,0,0.6666666666666666,5,0.3333333333333333,-1,0.0
1240,13,0.5333333333333333,16,0.26666666666666666,6,0.13333333333333333
1241,16,0.5,9,0.4166666666666667,19,0.08333333333333333
1242,0,0.7,16,0.3,-1,0.0
1243,15,0.35294117647058826,6,0.23529411764705882,9,0.17647058823529413
1244,13,0.6363636363636364,1,0.2727272727272727,8,0.09090909090909091
1245,12,0.5789473684210527,1,0.2631578947368421,2,0.10526315789473684
1246,19,0.46153846153846156,13,0.28205128205128205,2,0.15384615384615385
1248,19,0.6153846153846154,11,0.11538461538461539,9,0.11538461538461539
1249,11,0.4444444444444444,1,0.3333333333333333,18,0.2222222222222222
1251,8,0.4666666666666667,9,0.2,16,0.13333333333333333
1252,13,0.5,19,0.25,11,0.1875
1253,5,0.5625,0,0.375,11,0.0625
1254,14,0.5,9,0.35714285714285715,5,0.07142857142857142
1256,9,0.6153846153846154,6,0.15384615384615385,11,0.07692307692307693
1259,6,0.35294117647058826,13,0.29411764705882354,16,0.23529411764705882
1260,0,0.391304347826087,8,0.2608695652173913,12,0.08695652173913043
1261,5,0.26666666666666666,14,0.2,11,0.2
1262,4,0.6842105263157895,8,0.15789473684210525,11,0.10526315789473684
1263,14,0.36363636363636365,8,0.2727272727272727,4,0.18181818181818182
1264,4,0.8333333333333334,11,0.08333333333333333,18,0.08333333333333333
1265,16,0.7777777777777778,0,0.2222222222222222,-1,0.0
1267,1,0.42105263157894735,16,0.21052631578947367,15,0.15789473684210525
1269,0,0.6551724137931034,11,0.13793103448275862,16,0.10344827586206896
1270,9,0.5714285714285714,15,0.21428571428571427,11,0.07142857142857142
1282,0,0.6818181818181818,14,0.18181818181818182,18,0.045454545454545456
1340,13,0.7297297297297297,6,0.10810810810810811,9,0.05405405405405406
1342,13,0.5384615384615384,19,0.15384615384615385,16,0.15384615384615385
1344,15,0.6923076923076923,12,0.23076923076923078,6,0.07692307692307693
1346,13,0.7727272727272727,6,0.18181818181818182,11,0.045454545454545456
1347,4,0.7272727272727273,17,0.09090909090909091,12,0.045454545454545456
1348,15,0.3125,6,0.25,9,0.1875
1349,16,0.5238095238095238,0,0.42857142857142855,9,0.047619047619047616
1350,10,0.4375,0,0.375,2,0.125
1351,4,0.75,11,0.125,1,0.125
1352,12,0.5,9,0.3181818181818182,16,0.09090909090909091
1353,4,0.6470588235294118,11,0.23529411764705882,1,0.058823529411764705
1354,0,0.5,17,0.35714285714285715,11,0.07142857142857142
1355,7,0.42857142857142855,18,0.42857142857142855,11,0.047619047619047616
1356,13,0.7142857142857143,6,0.17857142857142858,16,0.03571428571428571
1357,4,0.7777777777777778,8,0.07407407407407407,16,0.07407407407407407
1358,15,0.35294117647058826,11,0.29411764705882354,1,0.23529411764705882
1359,5,0.5714285714285714,0,0.42857142857142855,-1,0.0
1371,16,0.5217391304347826,0,0.30434782608695654,9,0.13043478260869565
1372,0,0.8125,16,0.125,5,0.0625
1387,0,0.5714285714285714,16,0.2857142857142857,11,0.14285714285714285
139,0,0.5,15,0.4444444444444444,8,0.05555555555555555
140,0,0.6,9,0.2,5,0.08
1407,0,0.3,18,0.3,7,0.3
1408,6,0.35294117647058826,13,0.29411764705882354,5,0.11764705882352941
1409,13,0.4166666666666667,6,0.3333333333333333,16,0.125
1410,0,0.5,5,0.42857142857142855,11,0.03571428571428571
1411,17,0.9047619047619048,8,0.047619047619047616,9,0.047619047619047616
1412,0,0.5555555555555556,9,0.2222222222222222,16,0.1111111111111111
1413,4,0.8461538461538461,16,0.07692307692307693,19,0.07692307692307693
1414,13,0.5263157894736842,2,0.15789473684210525,6,0.15789473684210525
1415,13,0.3181818181818182,19,0.22727272727272727,6,0.22727272727272727
1416,16,0.6896551724137931,0,0.20689655172413793,11,0.034482758620689655
1417,10,0.6666666666666666,0,0.3333333333333333,-1,0.0
1420,15,0.5454545454545454,5,0.18181818181818182,18,0.09090909090909091
1421,0,1.0,-1,0.0,-1,0.0
1422,5,0.2962962962962963,1,0.18518518518518517,11,0.14814814814814814
1423,13,0.35294117647058826,11,0.23529411764705882,12,0.23529411764705882
1424,13,0.3125,6,0.3125,16,0.25
1425,10,0.8,0,0.2,-1,0.0
1426,0,0.7058823529411765,16,0.23529411764705882,18,0.058823529411764705
